at,Year_Month_Date,content,score,compound
2025-11-12 06:35:21,2025-11-12,"Interesting plot and lore, especially Amphoreus arc. However, there are suspicious designs - for example, it was not explicitly stated why Cyrene adheres to wedding themes. The aforementioned issue is not as troubling as endgame experience. The difficulty is clearly artificial, with bosses having absurd hp and toughness values. At the same time, the damage dealt by them is enough to wipe out whole team. This happens a lot given enemies' number of actions taken. 500 characters is not enough",1,-0.0644
2025-10-03 18:04:43,2025-10-03,"I was pissed off. I can't make an account , while in the middle of filling out the things needed, it always says ""invalid parameter"" when I was trying to make a password for the account. PLEASE FIX THIS BECAUSE I BADLY WANTED TO PLAY HSR. Additionally, it says too that it needed to be refreshed because of so many pages LIKE WDYM BRO? I JUST STARTED MAKING AN ACCOUNT AND THIS WILL BE THE FIRST THING THAT WILL CAME UP.",1,0.1605
2025-10-31 00:15:09,2025-10-31,"I really like the game, and I reached equilibrium level 6 a while ago, it was a nice challenge but then a bunch of new game modes came and they just got harder and harder, I couldn't progress in the story anymore because I couldn't beat the bosses, even tho I was really interested in it, it left me with almost nothing to do since my characters were just too weak, I tried to strengthen them but I don't have enough time nor luck, so I really hope we can change our equilibrium level in the future.",1,0.6932
2025-10-01 19:13:20,2025-10-01,"This game suffers from a lot more problems than all the other Hoyo games. I believe this one has more of them, like, the repetitive arcs , repetitive locations for said arcs (Penacony final act, it was milked to death) , the ridiculous HP inflation it would make the Venezuelan economy blush, not to mention the insane power creep that exists. All and all this game was pretty okay when it came out but later lost the ball. If you are looking forward to this game, I'll save you the trouble. Don't.",1,-0.6613
2025-11-05 08:15:45,2025-11-05,"the story is great but there's terrible powercreep and minimal eventsgameplay to do outside of the endgame abyss rotations. Powercreep and carelessly made units are becoming way too common, and despite being a whale previously, I have stopped spending on the game as I cannot support the predatory character kits which have core components locked behind multiple copies of a character.",1,-0.8533
2025-09-28 10:27:57,2025-09-28,"The challenging modes are not friendly often revolve around excessive difficulty, reliance on specific gacha units for success. Must make difficult choices on which characters to invest in, as resources are scarce. Wrong decision can severely hamper their ability to progress in challenging modes. Although the game's story content and mini games are highly accessible, its endgame modes are intentionally designed to be difficult tests of player investment.",1,-0.6283
2025-10-30 21:30:33,2025-10-30,"I truly do enjoy the story and characters of this game, and the game mechanics are fun, I have very fond memories of this game. However, during the recent updates it has simply become almost completely inaccessible for any f2p player, and I'm not even f2p myself as I have already spent over 300 on this game pulling for characters that were deemed as ""must-haves"", just for them to fall off meta entirely within the next few patches.. I love this game but I can't recommend it for any f2p",1,0.7377
2025-11-06 00:52:37,2025-11-06,"Game has gone super downhill coming from a player since launch. Characters rotating out of the meta faster than the seasons are changing, endgame content enemy health bars are only inflating more and more every patch making my older characters unusable, really bad monetisation and zero new 4 star characters since Moze. Cyrene is almost the last nail in the coffin for me. a character that has to be E2 or is just unplayable. yeah the free stuff is cool but what's the point when it'll just rotate?",1,0.2967
2025-10-26 13:19:03,2025-10-26,"The recent performance of this game in the whole 3.0 version makes it a game I won't recommend anyone to come in Hoyoverse is coming up with more and more characters with more crazy damage, stronger and stronger pve power, and the boss' hitpoint has been multiplied for 10 times within a single version in 3.0 The reason is very simple: they want to sell characters and gain that they'll never satisfy, they don't care about player's voice at all DO NOT TOP IN A SINGLE TO CAPITALISM",1,-0.5903
2025-10-29 08:53:58,2025-10-29,the game was good at first but the storage is insaine and if your ready to spend HOURS in the game and then updates later have all the time you spent mean NOTHING... the good luck go ahead. im still playing it cus....cope....but seriously this game is so speedy and its graphics and designs is good and all but if you want to be f2p....just dont play or quit,1,0.9427
2025-12-07 00:49:38,2025-12-07,Rng is terrible in this game for both characters and gear. The past update for the story was all cut scenes with one fight. It's more like a visual puzzle and reused material. End game bosses are constantly recycled and only made to be more incredibly difficult with each update. When my account was new it did get a little lucky with getting at character while at 20 pitty. Since then it's been 70 pulls and losing 5050. They changed their Auto battle setting or something and made it brain dead.,1,-0.9334
2025-10-25 10:35:06,2025-10-25,"The rates are so goddamn awful. Not a single 5050 win in 5 patches, losing 7 times in a row is not fun. Games are supposed to be fun, well not only is the content boring and repetitive, the only aspect of the game that I would even be a little interested in, which is gacha, has awful rates and the way banners are set up is predatory af right now. At least genshin has a CR. It's just 5 stars and 5 stars each after the other, hey, I'm sure you're not low on money, chill down a bit?",1,-0.9539
2025-11-30 01:37:19,2025-11-30,"Time to update this review because the actual situation of the game is deplorable, the worst it has ever been so far. Extremely p2w in new game modes, savage lack of alternatives for f2p players with no new 4 characters in more than a year, insultingly bad story, rampant character favoritism, lackluster events, no old characters buffs, very little role playing to have if any at all and more issues all around really. Can't recommend it like this, hopefully they fix this mess soon.",1,-0.9667
2025-11-04 09:53:32,2025-11-04,"I don't want to do this but your game deserves this after what's happening with all the HP inflation in the end game contents!!!! You might as well just put a label ""only fun when you pay and get all the new characters every update"" when starting the game! Not to mention that grinding relics is just despicably disappointing!!! Might as well add an option to just usedump fuel to finish dailies instead of actually using it to grind since the results are always trash!!!!",1,0.7102
2025-10-12 17:15:54,2025-10-12,"I want to like HSR since I like Genshin but it's oversaturated with lore that is pointlessly extensive. The main story being really long is okay but every minigame or extra branch in the world does not need novel-lengths of text. The menu and every game mechanic is also needlessly complex, convoluted and there's far too much going on. Theres no way things couldnt have been handled more efficiently and cleanly.",1,0.7639
2025-10-24 21:27:41,2025-10-24,"At this point, there are times you have to say enough is enough. I've been playing this game since Luocha was first released. I enjoyed the story, but recently, they have been getting way too greedy. From the lack of 4 stars to the multibanners, especially for the next patch coming up, they only seem to care about milking their players of as much cash. After finishing the story next patch, I'm dropping this whole game entirely.",1,0.2382
2025-11-07 12:01:30,2025-11-07,The greed of this company is simply unmatched. All of the decisions related to the monetization and exponential power spike of the game have been very disheartening. What is strange is how the critiques and concerns from players about the games health are not been acknowledged or even considered. It is quite sad to see as the game itself is of high quality and can be fun but hoyoverse seems like they want to sour the experience.,1,0.0534
2025-12-05 20:41:09,2025-12-05,"The greed of the devs is starting to show with the 3.8 livestream showing we have 2 EXTRA weeks and ONLY 2 events in the entire patch. Showing an old planets story from a different perspective and updating endgame that was ALREADY updated every other week doesnt cancel it out. Unfortunately I have to wait until 4.0 to see if I should even keep playing at this point, in the meantime, I'm doing the bare minimum in this game until it gets better.",1,0.0875
2025-10-28 21:42:57,2025-10-28,"I really enjoyed playing for almost two years. It's a great game. But the situation with Cyrene really disappointed me. The fact that you need her E2 or premium Castorice team to charge her ultimate faster is insane. And spending-event where you need to spend around 300 to get her weapon skin... And it makes me sad because I love Cyrene, and the fact that devs treated her so badly and seeing how everyone suggests to skip her is just... I really wanted and expected Cyrene to be must-have.",1,-0.8857
2025-11-05 14:09:55,2025-11-05,i gave this game a 5 star rating before but after coming back and playing for a few months I am kinda disappointed you need to have the new 5 star characters otherwise you can't complete the end game content and can't get any reward that you need to pull the new characters it's like a cycle that keeps repeating you need to change this cause game is not in a very good spot,1,-0.7712
2025-12-04 12:58:30,2025-12-04,"For a game that supposedly places alot of emphasis on the story, it is pretty meh. Also hoyo glazing their darling Cyrene, which I think is a really boring Mary sue character, made me stop playing all the more. Only not giving 1 star cos the cut scene animations are actually pretty good. Otherwise, better gachas out there like WuWa or CZN",2,0.8958
2025-11-08 03:09:46,2025-11-08,"You can really tell how little effort they put into the presentation, writing, planning, and balance of the game. The game is basically a scam to try to wring the player base for all they're worth while giving you slop in return.",1,-0.1027
2025-10-30 00:11:51,2025-10-30,"I have tried to get my friends main account up to end game content for the last couple of months. Every time I get close, they inflate the HP so much that the old dps barely tickle the bosses, while new characters who could previously do massive chunks of the HP bar now feel mediocre at best. In the next update, they teased Cyrene, an overpowered unit, but intentionally did not show them at low level investments because of how long it takes to ramp up her ult. Good luck trying to catch up.",1,0.85
2025-11-08 14:43:12,2025-11-08,"I used to love this game, great gameplay, lovely visual, and a casual gaming approach with the dailies... Gradually it became really repetitive, and the gacha system started feeling very greedy. Low rating bcoz no new 4 star unit, lot of baiting, bad story visuals and global passive. Remove all this and it will be a 8 out of 10 rating.",1,0.6411
2025-10-27 11:31:48,2025-10-27,"Been playing since day 1 updating my rating from 5 down to 1 star. if i were just rating the story, this would have a higher rating for sure. but this is a game, the game element part is disappointing, even as someone who enjoy turn-based combat games. locking crucial abilities behind eidolons lightcone, the insane powercreep that can easily render all the eidolons lightcone you've pulled useless in almost no time.",1,-0.7236
2025-11-05 09:30:21,2025-11-05,"I've played this game since day one, and I hate where it is now. ridiculous amounts of powercreep, Amphoreus was and is being dragged on way too long, the fact that everything in the game revolves around what's meta is just diabolical. If you're going to have a fast paced meta game like hsr, at least continuously buff old characters. I'm sorry hsr, I've had enough",1,-0.4215
2025-10-08 11:57:42,2025-10-08,"Good concept, bad execution With the amount of money they have, you would expect GREAT things from this game but no. The story is a 10 hours slop every patch with only 1-2 hours of good in it, the dev cant even spare the time to actually animate even the simplest of scene. Whether its holding an object, or even some simple facial animation. Instead, its hours and hours of repitition between hand on chest pose, empty hand out to give something. The lore IS amazing, too bad hoyo is too lazy.",1,0.8506
2025-11-10 01:01:34,2025-11-10,"Abysmal gameplay experience. Cutscene after cutscene. Want to play the game for 10 minutes? No. You'll be stuck skipping cutscenes and moving point to point to get to another cutscene to skip. Okay, so do a side-mission instead. MORE cutscenes. It would be nice if they added a button that said ""skip all scenes related to this mission."" It wouldn't be so bad if the conversations were actually interesting instead of circling around to saying the same thing. I just wanted to play a turn-based game",1,0.4231
2025-10-24 22:30:06,2025-10-24,"Hoyoverse has increasingly powercrept characters even 2 patches apart, and the latest 3.7 patch is greed incarnate, taking a character that's been hyped up for most of the year and putting half the effective kit behind getting at least 3 total copies of her, which is a crazy amount of for a single character. The story in amphoreus has been good, but that doesn't excuse how they've been treating players. Stay away",1,0.0302
2025-07-13 13:39:58,2025-07-13,"Returning player here. I have to agree with those who are concerned about power creep. Team building in this game takes a very long timeyou need specific units, Light Cones, and relics. It can take months or even a year to build a solid team. But by the time you're done, that team may already be outdated and unable to clear endgame content. Power creep is understandable if older units can still clear endgame content. But it becomes a problem when enemy HP gets inflated too much.",1,-0.1154
2025-10-17 01:32:46,2025-10-17,"characters now not only being powercreep but now new characters required pair to work and soon will also be powercreep. So instead of only 1 not being able to use in future update you will now have a team that will not be able to use because of the constant powercreep and partner requirement. As a player since 1.x version, this game has really gone downhill.",1,0.0
2025-10-27 13:33:14,2025-10-27,"Ookay. This used to be my most favourite gacha game. Well, not anymore. In 3.X, the developer's focus clearly shifted from a fine balance between quality and predatory gacha practices to straight-up greed. Events that require you to spend money to get the rewards, account-wide buffs locked behind premium gacha characters, stagnant story that has you stuck in one location for almost a year (even for events), and an insane amount of powercreep accompanied by a gamemode tailored to high spenders.",1,0.3182
2025-09-24 15:47:33,2025-09-24,"Character powercreeps every update, not enough jades given to follow META, the absolute need to spend money if you want to follow META or else you'll get left behind, a new content that you can't play if you only got old weak characters, updates that induce FOMO instead of QoL updates that make playing the game more fun, no new 4-star units and no updates to the current ones which are already useless in combat. This is how it feels to have your rear Honkai: Star Railed.",1,-0.8126
2025-11-16 11:20:52,2025-11-16,"Alright, the latest update was great. The story was great, and I had a blast, but please get your reruns sorted out. I get it with this being the ending of the story, so you get a pass.. but the next storyseason should have every missing character rerun. Characters that haven't shown up at all this year: Jing Yuan, Imbibitor Lunae, Black Swan, Rappa, Aventurine, and Argenti. This also isn't including others that have ""shown up"" but are the special token grabs, and ""special guests"".",4,0.9161
2025-11-05 14:55:33,2025-11-05,"you want the worst mini games without impossible difficult content for all those units you spent on? I finally quit this. I had to step back and think, and oh boy did this game rob me of my time like no other. maybe the whole combat system can be implemented properly in a different game lol",1,-0.6798
2025-10-08 11:33:39,2025-10-08,"a very good game, too bad it's ruined by extremely greedy and predatory company. Edit to revise to 1 star, there is no free option anymore, and even the premium units are incomplete, so you are forced to gamble for signature weapons.",1,-0.8768
2025-11-09 12:31:28,2025-11-09,"Here are the reason why I give 1 star, the planar and relic were so bad that are unplayable, what kind un-need stat for? for it to be primary stat for each upgrade and farming and it become unbearable for what kind fun on that? That made me want to left the game. This is PVE why make it so bad? Also their pull is too bad, always 5050, too greedy for the company",1,-0.7854
2025-09-25 19:49:09,2025-09-25,I feel like I want to refund the money that I spent on that express supply pass on my years of playing after the powercreep was much intense that I regret it so much. I set this date as my last supply pass purchase then I think Im done on this game. If they consider redesign everything from the start (from character dmg up to enemies hp) then I think I can change my mind,1,-0.2732
2025-11-05 16:32:23,2025-11-05,"I've been with HSR ever since the first launch, but right now i've never been disappointed in the entire game, you're just following HI3 with all these tragic stories, especially Amphoreus, i thought HSR was supposed to be like an alternate universe but no, you decided to do it all over again, so disappointing. If you plan to do this over and over again, i know i'm not someone important but i'll quit this game.",1,-0.8308
2025-10-31 18:05:34,2025-10-31,"It's P2W from the start!! Relic farming is just pointless. Bad enough farming is almost close to impossible to get good stats, to make things worst when yoi get the stats u want, all your points go into the wrong substats. Powercreep excessively so you MUST spend. Plus the dumb kit reworks recently are just pure stupidity. Why make characters at all when they have the most useless kits",1,-0.9544
2025-09-24 21:56:59,2025-09-24,"the environment still has bugs. you can't see the path you walk. in story modesend game modestrials. it's been a whole patch since they offer the same response ""give me the information about your graphics and your phone, record this, record that). it's like they do not trust you. when you offer the proofs, they ask you to record yourself by restarting the game. you do it. the problem persists while they ask you for proofs again and again. 0 communication and solving skills.",1,-0.1285
2025-11-19 10:22:50,2025-11-19,"Get back to Belobog. It was probably the best part of the game. Acheron was also quite good. Everything else is lower than mid. Amosomething story is an endless yapping fest. You better off reading real Greece myths than playing that bs. Gameplay improvements? Nope. They care more about selling new powecreep characters. I had much hope when I started the game at release, but now... 0 gameplay improvements in 2 years, characters powecreep monetization, slop story",1,0.8474
2025-11-12 15:12:05,2025-11-12,"ok so now you decide Doubling down on the create problems and sell solutions to those problems tactic eh? Classic. Im only in on the game since amphoreus is a reference to one of the best arc in Honkai impact 3rd and now you decide to take advantage and capitalize on that fact by making the newest character (who is based on one of the most iconic character of their own arc in Hi3 which is Elysia) reliant on their 2nd copy. smh, more business, less fun, no more otakus saving the world with this 1",1,0.7468
2025-11-01 08:22:30,2025-11-01,"HSR team used to be great but now they only care about selling char and powercreep is unreal. I played since luofu release until now and did spend alot in this game, playing 2 accts because I really loved the game. Well, not anymore. Cyrene and so many other problems in the game are ignored and the non stop recycling of the same event over and over is getting old.",1,0.8978
2025-11-06 20:17:53,2025-11-06,"absolutely pathetic job. often the highest revenue game but that money is no where to be seen, by far the laziest damn developers in terms of what's in the game verse the money on hand. Shared animations, no voice acting in scenes, stiff recycled movements in cutscenes. every character share one of four animation skeletons. all could have been acceptable if patched over, but by now clearly that won't happen. the recent patch has by far the worst story update this game has ever put to screen.",1,-0.7681
2025-10-26 00:43:50,2025-10-26,Very disappointed with the latest livestream about 3.7 and cyrene overall. I was so excited about her and she ended up having a chunky kit where her E2 is a must and just nothing unique about it. Events barely as well... It seems 3.7 has only one? And I really hope they won't ruin the story in 3.7. Maybe the hsr developers need to stop getting to comfortable and actually listen to the fans and feedback.,1,0.7957
2025-10-31 02:59:48,2025-10-31,"Developer is getting greedy, making a character that is most comfortable at e2, basically make a problem and sell the solution. not to mention the whole 3.7 banner is just Cyrene and her whole best team in one half of a patch together, not all players can spend the moneyjades for that much characterslc, especially ones that wants a full team. Cyrene is a heavily anticipated character and hoyo managed to ruin her. notes: the e5 Cyrene used in the livestream for 3.7 update is just more proof.",1,0.3167
2025-12-07 01:22:16,2025-12-07,"Im player D1 of this game. Recent patch is not impress and make me disappoint. Dev never learned from they past game and dont care about player comments. Storytelling and presentation is worst. Character still talk the same dialog without any valuable,it's make me really boring and dont want to read story. Rate gacha also bad, I understand is normally for gacha game but it's still not fair for other player. Which character I want I almost get it with garantee like 90. Go get 1 star dude :(((((",1,-0.8225
2025-10-22 16:23:13,2025-10-22,"1 year has passed since I stopped playing the game and when I came back for the Evernight banner not a single team I have can clear any endgame content, pwercreep is actually BS in this game; Also, error 10011 keeps happening dispite every other game I have loads just fine",1,0.1531
2025-12-03 13:00:40,2025-12-03,"ok, honestly the gear grind is still hard sometimes. but they are making an honest effort to help out with new items, quick farm and events that give gear. story is good too. I gotta side against the hate at the moment. keep it up.",4,0.8481
2025-10-06 10:58:16,2025-10-06,graphics arent bad but some character design looks ugly like it was copy paste from genshin. my friend plays HSR and he was a gibberish type of person and he loves to play turn based which i don't really play stuff like this. I play genshin and it's a better game than HSR. So my opinion is I'll give 1 star since it's turned based and inefficient game with confusing battle skills.,1,0.9727
2025-11-01 22:06:29,2025-11-01,I've played this game ever since day 1. It was fun from the beginning specially at Belebog. And 4star chara is still a thing during that time and the challenges were just right. Fastforward today now 4star chara is nowhere to be seen instead it's all 5star-meta-end-game-content challenge which is hard now specially the HP has increased significantly in the game. Lastly the 3.7 stream vid contoversy was the last straw. It was fun while it lasted for 2 years.,1,0.8834
2025-11-06 03:57:18,2025-11-06,"Not free to play friendly game, when every unit needs their signature weapon to function, stopped releassing 4 star character, Stopped giving 4 star weapon as alternative of the limited one, even on their own guide if you don't have the limited weapon, they tell you to use another limited one lol, content extremely restricted on what team you need, if you don't have X team gg you can't clear it. Hoyo will never stopped being greedy while being a billionaire company",1,-0.9237
2025-10-08 19:41:03,2025-10-08,"literally just 10 minutes ago that my acc glitched so much for a few minutes. this is the first time this is happening. all of this happened after i used ""support"" characters in domain. i can't help but worry my acc got hacked or maybe even my phone(which i hope not)",1,0.4176
2025-11-07 16:42:41,2025-11-07,"They have added a character that can revive your entire team even if she herself isn't on the team. The last four star character came out in September 2024. Every patch they add two five stars and every DPS is stronger than the last. Important story beats are resolved off screen (2.1's ending). They intentionally give characters big flaws just to sell you their E2 or lightconeweapon. They ignore player feedback about characters, Mydei is the best example of this. 300 usd for a weapon skin.",1,0.7906
2025-11-06 05:07:40,2025-11-06,"Consecutively losing 5050 10 times in a row is not fun. Seems like rates have been tailored to be on the losing end as of recent. Please include systems like ""capturing radiance"" of Genshin. I'm tired of saving for a long time, skipping multiple banners only to lose everytime on the characters I want.",1,-0.8939
2025-10-08 12:42:58,2025-10-08,great comfort game if you know how to avoid the many psychological traps and only play it like a normal rpg (just the story and dont chase metacharacter). dont expect long time viability as f2plow spender unless you want to play the game like a 2nd job,1,0.926
2025-12-02 11:50:36,2025-12-02,"powercreep and hp inflation are still an issue. endgame is too difficult; endgame is revolved around multiple character dupes with their sig lightcones. (mostly newer characters). limited banner reruns take too long to rotate back in, which makes it difficult to build teams. (meta constantly shifts way too much due to end game mechanics) not enough free pull currency to guarantee the new 5 star character with 5 star sig lightcone every patch. this game still has 5644 on the limited banners",2,-0.8177
2025-10-08 12:26:39,2025-10-08,"I started playing because the characters from 1.0 intrigued me and were usable units up until 3.0. After Amphoreus, the powercreep became too much. It feels like my account is screwed without Tribbie and Phainon, despite me having Sunday, Castorice, and Anaxa. Overall, not worth the money you'll need to spend if you want to have any chance of clearing endgame content.",1,0.1862
2025-09-25 21:30:00,2025-09-25,tried to download the game but took almost 2 hours to download the resources that you need to play. This was while using strong wifi and having a phone that is powerful enough to play any game smoothly,1,0.9366
2025-11-09 12:34:07,2025-11-09,"One of the best game or probably the best game I have ever played on a handheld device. Approximately 4 months ago I started playing this game just for the fun of it, but didn't expect such a beautiful story with so many lessons and emotions with insane depth on the characters' story and background in this game. I absolutely love playing this game because of it's great story and the efforts they puts on this game. Thank you hoyoverse and the team assigned for this game. Truly a wonderful game.",5,0.9816
2025-12-01 21:30:05,2025-12-01,"Absolutely trash, the game have too much cheaters nowadays especially on story, explore, event, etc. Also no action to ban them from hoyo because it's a single game.",1,-0.8271
2025-11-13 09:20:36,2025-11-13,The game does not make sense with the lower difficulty of the currency wars. It should be easy to clear but why am I struggling to clear it. I utilized the strategies but I still do not understand why I cannot clear it. I find it does not make any sense to me why I cannot clear it. Do not let me get started with the damage calculations. I am not sure if they are right either.,1,-0.2716
2025-11-17 08:29:09,2025-11-17,"The game is good... But there's this disconnection from the players and devs that makes the game just looks like a ""give me your money"" kind of game... Dont get me wrong tho im still gonna play the game but i REALLY HOPE they listen to the community more and appeal to the players concerns ... Hoyoverse is up there for one of the most top earning companies in the world, so i dont get why they seem so desperate to make more money. i wish i can give 0 stars just to send a word to HoyoverseT-T",1,0.9627
2025-11-16 10:15:46,2025-11-16,"I love Honkai: Star Rail but Im really frustrated right now. Bosses became way too hard we used to clear tough fights with 4-star teams, now it feels impossible without 5-stars or perfect relics. Grinding relics is pointless when one bad roll ruins your build. Live streams and showcases use C6 or whale gear, so normal players cant relate.",1,-0.9614
2025-11-11 02:57:35,2025-11-11,"low effort put into everything that isn't the latest playable character, haven't released a new 4 star in OVER A YEAR and frankly I don't know where their money is going because it's certainly not going back into this game",1,0.0772
2025-11-12 10:47:00,2025-11-12,Power Creep is still there but the story got pretty darn good. they were cooking on that front at least. Also do easy mode for Irontomb... unless you're a whale or god tier artifacts.,3,0.9398
2025-09-26 21:36:37,2025-09-26,well the most recent king battle is terrible. my best teams barely clear the knights and I don't have any capable of even surviving the king apparently. I'm not sure for who or what the point of this mode is but I think I might finally be done with this game. I've been struggling to keep up for awhile now and this is just not even remotely reasonable,1,-0.519
2025-10-30 18:15:18,2025-10-30,"HP inflation, greedy marketing and character design. Game is slowly falling off. The only thing carrying this game are the beloved characters. They became the thing they swore not to become (Genshin Impact).",1,0.1027
2025-10-01 13:22:57,2025-10-01,"powercreep is harsh, pulls not sufficient, 4 new chars for 2 version, you could only choose one. gacha in this one is really predatory. they even recycle the event and keep recycling the main storyline with the timeline. now it's a complete mess that I even considered to quit this game",1,-0.6597
2025-10-23 10:44:40,2025-10-23,Every 42 days you get about 30 mins of event content that basically plays itself and 8 hours of story reading on the level of a children's book. Least engaging game I've ever played once the initial backlog of content dried up.,1,0.3322
2025-09-29 14:32:35,2025-09-29,"The lack of things you can do in this game are so bad and terrible. You cant enjoy the character you pulled outside of the endgame contents ,Theres no interaction or even character birthdays like genshin. The story feels disappointing because the developers seem too lazy to create proper animations, relying instead on black screens and long, emotionless dialogues with no visual expression.",1,-0.9537
2025-10-04 17:08:54,2025-10-04,"A newly released healer under the guise of remembrance dealing more damage than 99 of all previous versions dps and heals more than any previous versions healers. And you need this unit and its lightcone to clear the latest endgame. Welcome to HSR, crazy power creep where the devs actually actively destroys 99 of previous characters to force you to pull for latest units and their lightcone. And your shiny new units? Probably dead in 6 months. This game is so not worth it.",1,-0.8333
2025-09-24 22:24:16,2025-09-24,"U guys sure make lot of awesome characters, gameplay, music, even the boss are absolutely peak which is nice.. but 1 thing that really made me mad is Substats roll which is rely on stupid high RNG... no matter how many resources i spend and even using a custom relic to get my desire stats (such as Crt ratedmg) which is require a luxury item that u only got 2-4 time per month just for a stupid piece of junk.. this is ridiculous and wasting a recourses better just remove the relic system..",1,-0.9293
2025-09-25 06:12:28,2025-09-25,"the new endgame is annoying. powercreep if you don't have Castorice or Phainon, you're screwed. The game punishes you if you don't have specific you can't use pervious units and story for Amphoreus is overrated is dragged for so long I don't care anymore I don't recommend this game you sink your money your pervious units are useless after Mydei will delete this they don't treat their players well. they don't buff older units much and they don't rerun",1,-0.9447
2025-11-06 13:08:26,2025-11-06,"this sucks. there's so many crashing problems, and the story isn't compelling. a complete flop on hoyos part. do better. I wanted something like a scifi genshin, where it doesn't lag, and the story is good. also the turn based fighting isn't as exhilarating as the open world fighting, where you rapidly switch characters and have to use em reactions. also, you only have a certain amount of times you can use your skill, which suck. make there be a cool down on it. fix all these issues please.",5,0.1985
2025-09-30 21:06:03,2025-09-30,There is nothing to do in the game. Even after a content update you pretty much watch a story that just repeats itself and then there is nothing to do. You pull new units and build them for nothing.,1,0.4939
2025-11-04 14:09:25,2025-11-04,"trash game. whenever you pull a new charcter then the character gonna be meta for a while but then in the next patch that character just get shutdown in next update, not just because the hp inlation but the mechanic of the newest enemy is just dont work with the last meta and the game itself just force you to pull the newest characters eventhough you didnt like the character or the mechanics they didnt thinking about that and just thinking about money and money the devoleper is soo greedy.",1,-0.8851
